"","Var.1","Date","Town","State.Province","Latitude","Longitude","Number","Image"
"1",1,"07/03/05","joliet","IL",41.5,-88.1,1,NA
"2",2,"06/08/05","Beresford","NB",47.4,-65.4,1,NA
"3",3,"06/02/05","baddeck","NS",46.1,-60.5,1,NA
"4",4,"06/01/05","Beauport","QC",46.5,-71.1,1,NA
"5",5,"05/30/05","Sherwood Park","AB",53.3,-113.2,1,NA
"6",6,"05/29/05","Mansfield Center","CT",41.8,-72.2,1,NA
"7",7,"05/28/05","Frankfort","IL",41.5,-87.8,1,NA
"8",8,"05/28/05","Rochester","NY",43.2,-77.6,1,NA
"9",9,"05/27/05","South Orange","NJ",40.7,-74.3,1,NA
"10",10,"05/26/05","Sydney","NS",46.1,-60.1,1,NA
"11",11,"05/25/05","Maxwell","IA",41.9,-93.4,1,NA
"12",12,"05/24/05","Lumsden","SK",50.4,-104.5,1,NA
"13",13,"05/22/05","Clive","AB",52.3,-113.3,1,NA
"14",14,"05/21/05","Winnipeg","MB",49.5,-97.1,1,NA
"15",15,"05/21/05","Waukesha","WI",43,-88.2,1,NA
"16",16,"05/21/05","Baddeck","NS",46.1,-60.5,1,NA
"17",17,"05/20/05","Albany","NY",42.7,-73.7,1,NA
"18",18,"05/20/05","Theresa","NY",44.2,-75.8,1,NA
"19",19,"05/20/05","Theresa","NY",44.2,-75.8,1,NA
"20",20,"05/19/05","Utica","NY",43.1,-75.2,1,NA
"21",21,"05/19/05","Canton","MI",42.3,-83.5,1,NA
"22",22,"05/19/05","Falcon Lake","MB",49.4,-95.2,1,NA
"23",23,"05/19/05","Miramichi","NB",47,-65.1,1,NA
"24",24,"05/19/05","Brooklin","ON",43.6,-78.6,1,NA
"25",25,"05/19/05","Timmins","ON",48.3,-81.2,1,NA
"26",26,"05/19/05","Orrington","ME",44.7,-68.8,1,NA
"27",27,"05/18/05","Marne","MI",43.1,-85.8,1,NA
"28",28,"05/18/05","Wade","ME",46.8,-68.2,1,NA
"29",29,"05/18/05","Quebec","QC",46.8,-71.2,1,NA
"30",30,"05/18/05","Saltcoats","SK",51,-102.1,1,NA
"31",31,"05/18/05","Mount Hebron","NB",45.5,-65.3,1,NA
"32",32,"05/18/05","Wilsons Beach","NB",44.6,-66.6,1,NA
"33",33,"05/18/05","Hilden","NS",45.2,-63.2,1,NA
"34",34,"05/18/05","Shubenacasie","NS",45.1,-63.4,1,NA
"35",35,"05/18/05","Prince Albert","SK",53.1,-105.5,1,NA
"36",36,"05/18/05","Fredericton","NB",45.6,-66.4,1,NA
"37",37,"05/18/05","LaBroquerie","MB",49.3,-96.3,1,NA
"38",38,"05/18/05","Lubec","ME",44.8,-67.1,1,NA
"39",39,"05/18/05","Milford","ME",44.9,-68.5,1,NA
"40",40,"05/18/05","Granville Ferry","NS",44.5,-65.3,1,NA
"41",41,"05/18/05","Arthurette","NB",46.5,-67.3,1,NA
"42",42,"05/18/05","Apple Valley","MN",44.7,-93.2,1,NA
"43",43,"05/18/05","Alliston","ON",44.1,-79.5,1,NA
"44",44,"05/18/05","Moncton","NB",46.1,-64.5,1,NA
"45",45,"05/17/05","Ely","MN",47.9,-91.9,1,NA
"46",46,"05/17/05","Stockholm","ME",47.1,-68.3,1,NA
"47",47,"05/17/05","Ste. Anne","MB",49.4,-96.3,1,NA
"48",48,"05/17/05","Courtice","ON",43.6,-78.5,1,NA
"49",49,"05/17/05","Edmonton","AB",53.3,-113.3,1,NA
"50",50,"05/17/05","Victoria Beach","MB",50.4,-96.3,1,NA
"51",51,"05/17/05","Fort Frances","ON",48.4,-93.2,1,NA
"52",52,"05/17/05","Thunder Bay","ON",42.5,-79,1,NA
"53",53,"05/17/05","Milton","NS",43.5,-66.1,1,NA
"54",54,"05/17/05","Crane Lake","MN",48.2,-92.4,1,NA
"55",55,"05/17/05","Shediac Cape","NB",46.1,-64.3,1,NA
"56",56,"05/17/05","Morden","MB",49.1,-98.1,1,NA
"57",57,"05/17/05","Ste. Anne","MB",49.4,-96.3,1,NA
"58",58,"05/17/05","Grand-Mere","QC",46.6,-72.7,1,NA
"59",59,"05/17/05","Shelburne","NS",43.5,-65.2,1,NA
"60",60,"05/17/05","St. Clements","ON",43.3,-80.4,1,NA
"61",61,"05/17/05","Scotchtown","NS",46.1,-60.1,1,NA
"62",62,"05/17/05","Ely","MN",47.9,-91.9,1,NA
"63",63,"05/17/05","Virginia","MN",47.6,-92.5,1,NA
"64",64,"05/17/05","Thunder Bay","ON",42.5,-79,1,NA
"65",65,"05/17/05","Eveleth","MN",47.4,-92.5,1,NA
"66",66,"05/16/05","Dracut","MA",42.7,-71.3,1,NA
"67",67,"05/16/05","Mariapolis","MB",49.2,-98.6,1,NA
"68",68,"05/16/05","Center Ossipee","NH",43.8,-71.1,1,NA
"69",69,"05/16/05","Niagara Falls","ON",43.1,-79,1,NA
"70",70,"05/16/05","Grand Forks","ND",47.9,-97.1,1,NA
"71",71,"05/16/05","Rochester","MN",44.1,-92.5,1,NA
"72",72,"05/16/05","Manistee","MI",44.2,-86.2,1,NA
"73",73,"05/16/05","Sainte Beatrix","QC",46.2,-73.6,1,NA
"74",74,"05/16/05","Toronto","ON",43.4,-79.3,1,NA
"75",75,"05/16/05","Oak Park Heights","MN",45,-92.8,1,NA
"76",76,"05/16/05","Hutchinson","MN",44.9,-94.4,1,NA
"77",77,"05/16/05","Erickson","MB",50.3,-99.5,1,NA
"78",78,"05/16/05","Grenville","SD",45.5,-97.4,1,NA
"79",79,"05/16/05","Brantford","ON",43.1,-80.2,1,NA
"80",80,"05/16/05","Fort Qu'Appelle","SK",50.8,-103.8,1,NA
"81",81,"05/16/05","Miramichi","NB",47,-65.1,1,NA
"82",82,"05/16/05","Williams","MN",48.8,-95,1,NA
"83",83,"05/16/05","Effie","MN",47.9,-93.6,1,NA
"84",84,"05/15/05","North Tonanwanda","NY",43,-78.9,1,NA
"85",85,"05/15/05","manakin-sabot","VA",37.6,-77.7,1,NA
"86",86,"05/15/05","Scarsdale","NY",41,-73.8,1,NA
"87",87,"05/15/05","Gilbert","MN",47.5,-92.4,1,NA
"88",88,"05/15/05","Cambridge","NY",43.1,-73.4,1,NA
"89",89,"05/15/05","Elma","NY",42.8,-78.6,1,NA
"90",90,"05/15/05","UPPER SANDUSKY","OH",40.8,-83.3,1,NA
"91",91,"05/15/05","Beaverton","ON",44.3,-79.1,1,NA
"92",92,"05/15/05","Guelph","ON",43.3,-80.2,1,NA
"93",93,"05/15/05","Mallorytown","ON",44.3,-75.5,1,NA
"94",94,"05/15/05","Beaver Bank","NS",44.5,-63.4,1,NA
"95",95,"05/15/05","Port Mouton","NS",43.6,-64.5,1,NA
"96",96,"05/15/05","Irishtown","NB",46.1,-64.5,1,NA
"97",97,"05/15/05","Kenabeek","ON",47.7,-80,1,NA
"98",98,"05/15/05","St-Denis-de-Brompton","QC",45.5,-72.1,1,NA
"99",99,"05/15/05","Fergus","ON",43.4,-80.2,1,NA
"100",100,"05/15/05","Gilbert","MN",47.5,-92.4,1,NA
"101",101,"05/15/05","London","ON",42.6,-81.1,1,NA
"102",102,"05/15/05","Robertville","NB",47.4,-65.5,1,NA
"103",103,"05/15/05","Crookston","MN",47.8,-96.6,1,NA
"104",104,"05/15/05","Eden Prairie","MN",44.9,-93.4,1,NA
"105",105,"05/15/05","Lindsay","ON",44.2,-78.4,1,NA
"106",106,"05/15/05","Saint John","NB",45.2,-66,1,NA
"107",107,"05/15/05","Chester Basin","NS",44.3,-64.2,1,NA
"108",108,"05/15/05","St. Andrews","MB",50,-96.6,1,NA
"109",109,"05/15/05","Sioux Falls","SD",43.5,-96.7,1,NA
"110",110,"05/15/05","Halifax","NS",44.5,-63.4,1,NA
"111",111,"05/14/05","Chester","NS",44.3,-64.2,1,NA
"112",112,"05/14/05","Winterport","ME",44.7,-68.9,1,NA
"113",113,"05/14/05","Madison","WI",43.1,-89.4,1,NA
"114",114,"05/14/05","Richmond","QC",45.4,-72.1,1,NA
"115",115,"05/14/05","Memramcook","NB",46,-64.3,1,NA
"116",116,"05/14/05","Miramichi","NB",47,-65.1,1,NA
"117",117,"05/14/05","Saint-Donat-de-Montcalm","QC",46.2,-74.1,1,NA
"118",118,"05/14/05","Hermon","ME",44.8,-68.9,1,NA
"119",119,"05/14/05","Massanutten","VA",38.4,-78.7,1,NA
"120",120,"05/14/05","Lake Odessa","MI",42.8,-85.1,1,NA
"121",121,"05/14/05","Cedarville","MI",46,-84.3,1,NA
"122",122,"05/14/05","Wakeman","OH",41.3,-82.4,1,NA
"123",123,"05/13/05","Trois-RiviËres","QC",46.4,-72.6,1,NA
"124",124,"05/13/05","Quispamsis","NB",45.3,-65.6,1,NA
"125",125,"05/13/05","Haliburton","ON",45,-78.3,1,NA
"126",126,"05/13/05","Washburn","WI",46.7,-91,1,NA
"127",127,"05/13/05","Burlington","ON",43.2,-79.5,1,NA
"128",128,"05/13/05","Brant Lake","NY",43.7,-73.7,1,NA
"129",129,"05/13/05","Mississauga","ON",46.1,-83,1,NA
"130",130,"05/12/05","Alamo","MI",42.4,-85.7,1,NA
"131",131,"05/12/05","Norwich","VT",43.8,-72.3,1,NA
"132",132,"05/12/05","Sabattus","ME",44.1,-70.1,1,NA
"133",133,"05/12/05","Digby","NS",44.4,-65.5,1,NA
"134",134,"05/12/05","Ilion","NY",43,-75,1,NA
"135",135,"05/12/05","Toronto","ON",43.4,-79.3,1,NA
"136",136,"05/12/05","St-Jean-sur-Richelieu","QC",45.3,-73.3,1,NA
"137",137,"05/12/05","Acton","ME",43.6,-70.9,1,NA
"138",138,"05/11/05","Caroga Lake","NY",43.3,-74.5,1,NA
"139",139,"05/11/05","Center Ossipee","NH",43.8,-71.1,1,NA
"140",140,"05/11/05","Bracebridge","ON",45,-79.2,1,NA
"141",141,"05/11/05","South Berwick","ME",43.2,-70.7,1,NA
"142",142,"05/11/05","Ada","MN",47.4,-96.5,1,NA
"143",143,"05/11/05","Jackman","ME",45.7,-70.3,1,NA
"144",144,"05/11/05","Albert Lea","MN",43.7,-93.4,1,NA
"145",145,"05/11/05","Ottawa","ON",45.2,-75.5,1,NA
"146",146,"05/11/05","Kemptville","ON",45,-75.4,1,NA
"147",147,"05/11/05","Bemidji","MN",47.5,-94.7,1,NA
"148",148,"05/11/05","Kingfield","ME",45,-70.2,1,NA
"149",149,"05/11/05","Meaford","ON",44.4,-80.4,1,NA
"150",150,"05/11/05","Oshawa","ON",43.5,-78.5,1,NA
"151",151,"05/11/05","Grand Rapids","MI",43,-85.7,1,NA
"152",152,"05/11/05","Schenectady","NY",42.8,-73.9,1,NA
"153",153,"05/11/05","Gilford","NH",43.6,-71.4,1,NA
"154",154,"05/11/05","St Sauveur des Monts","QC",45.9,-74.2,1,NA
"155",155,"05/11/05","webster","NY",43.2,-77.4,1,NA
"156",156,"05/11/05","Kitchener","ON",43.3,-80.3,1,NA
"157",157,"05/11/05","Crystal Beach","ON",42.5,-79,1,NA
"158",158,"05/11/05","Sault Ste. Marie","ON",46.3,-84.2,1,NA
"159",159,"05/11/05","Oronoco","MN",44.2,-92.4,1,NA
"160",160,"05/11/05","Gray","ME",43.9,-70.3,1,NA
"161",161,"05/11/05","Belgrade","ME",44.5,-69.9,1,NA
"162",162,"05/11/05","Derby","ME",45.2,-69,1,NA
"163",163,"05/11/05","Motley","MN",46.3,-94.6,1,NA
"164",164,"05/11/05","Morrill","ME",44.4,-69.2,1,NA
"165",165,"05/11/05","Sainte Anne Des Lacs","QC",45.9,-74.1,1,NA
"166",166,"05/11/05","Port Perry","ON",44.1,-78.6,1,NA
"167",167,"05/11/05","Stoneham","ME",44.3,-70.9,1,NA
"168",168,"05/11/05","St-Jean-des-Piles (Shawinigan)","QC",46.7,-72.7,1,NA
"169",169,"05/11/05","Candor","NY",42.2,-76.3,1,NA
"170",170,"05/11/05","Whitesville","NY",42,-77.8,1,NA
"171",171,"05/11/05","Rome","NY",43.2,-75.5,1,NA
"172",172,"05/11/05","Saginaw","MN",46.9,-92.5,1,NA
"173",173,"05/11/05","milo","ME",45.3,-68.9,1,NA
"174",174,"05/11/05","Alexandria","ON",45.2,-74.4,1,NA
"175",175,"05/11/05","Port Perry","ON",44.1,-78.6,1,NA
"176",176,"05/11/05","Lincoln","NE",40.8,-96.7,1,NA
"177",177,"05/11/05","Ottawa","ON",45.2,-75.5,1,NA
"178",178,"05/11/05","Tribes Hill","NY",42.9,-74.3,1,NA
"179",179,"05/11/05","Ste-Victoire","QC",45.9,-73.1,1,NA
"180",180,"05/11/05","Elba","NY",43.1,-78.2,1,NA
"181",181,"05/11/05","Rockport","NY",43.2,-77.9,1,NA
"182",182,"05/11/05","Burr Oak","KS",39.9,-98.4,1,NA
