"site_id","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no"
430,42.323002,-71.647003,92,"MA",147,"Aquilegia","canadensis","red columbine","Plantae",1035,201,"Open flowers (1 location)",2008,5,18,139,2454605,NA,2008,5,18,139,2454605,NA
1062,43.227459,-76.121017,117,"NY",147,"Aquilegia","canadensis","red columbine","Plantae",1247,201,"Open flowers (1 location)",2009,5,17,137,2454969,21,2009,6,21,172,2455004,NA
1062,43.227459,-76.121017,117,"NY",147,"Aquilegia","canadensis","red columbine","Plantae",1247,482,"Initial growth (forbs)",2009,4,5,95,2454927,8,2009,6,21,172,2455004,NA
1062,43.227459,-76.121017,117,"NY",147,"Aquilegia","canadensis","red columbine","Plantae",1247,488,"Leaves (forbs)",2009,4,26,116,2454948,14,2009,6,21,172,2455004,NA
1127,42.979267,-70.957291,16,"NH",147,"Aquilegia","canadensis","red columbine","Plantae",1563,482,"Initial growth (forbs)",2009,3,19,78,2454910,3,2009,3,22,81,2454913,2
1127,42.979267,-70.957291,16,"NH",147,"Aquilegia","canadensis","red columbine","Plantae",1563,488,"Leaves (forbs)",2009,3,19,78,2454910,3,2009,3,22,81,2454913,2
1127,42.979267,-70.957291,16,"NH",147,"Aquilegia","canadensis","red columbine","Plantae",1563,488,"Leaves (forbs)",2009,4,24,114,2454946,21,2009,5,1,121,2454953,NA
414,44.277962,-70.315315,109,"ME",147,"Aquilegia","canadensis","red columbine","Plantae",2022,201,"Open flowers (1 location)",2009,5,19,139,2454971,5,2009,6,5,156,2454988,NA
414,44.277962,-70.315315,109,"ME",147,"Aquilegia","canadensis","red columbine","Plantae",2022,202,"Ripe fruits (1 location)",2009,6,5,156,2454988,17,2009,6,5,156,2454988,NA
414,44.277962,-70.315315,109,"ME",147,"Aquilegia","canadensis","red columbine","Plantae",2022,482,"Initial growth (forbs)",2009,4,11,101,2454933,2,2009,4,11,101,2454933,5
414,44.277962,-70.315315,109,"ME",147,"Aquilegia","canadensis","red columbine","Plantae",2022,488,"Leaves (forbs)",2009,4,16,106,2454938,5,2009,6,5,156,2454988,NA
1371,42.362041,-88.003029,237,"IL",147,"Aquilegia","canadensis","red columbine","Plantae",2175,482,"Initial growth (forbs)",2009,3,14,73,2454905,NA,2009,3,18,77,2454909,NA
1371,42.362041,-88.003029,237,"IL",147,"Aquilegia","canadensis","red columbine","Plantae",2175,488,"Leaves (forbs)",2009,3,18,77,2454909,NA,2009,3,18,77,2454909,NA
1513,33.849293,-84.386894,278,"GA",147,"Aquilegia","canadensis","red columbine","Plantae",2669,201,"Open flowers (1 location)",2009,3,29,88,2454920,NA,2009,4,21,111,2454943,NA
1513,33.849293,-84.386894,278,"GA",147,"Aquilegia","canadensis","red columbine","Plantae",2669,202,"Ripe fruits (1 location)",2009,4,21,111,2454943,22,2009,4,21,111,2454943,NA
1513,33.849293,-84.386894,278,"GA",147,"Aquilegia","canadensis","red columbine","Plantae",2669,482,"Initial growth (forbs)",2009,3,29,88,2454920,NA,2009,4,21,111,2454943,NA
1513,33.849293,-84.386894,278,"GA",147,"Aquilegia","canadensis","red columbine","Plantae",2669,488,"Leaves (forbs)",2009,3,29,88,2454920,NA,2009,4,21,111,2454943,NA
1559,39.289673,-123.373718,542,"CA",147,"Aquilegia","canadensis","red columbine","Plantae",2798,200,"All leaves withered (herbaceous and grasses)",2009,10,13,286,2455118,NA,2009,11,25,329,2455161,NA
1559,39.289673,-123.373718,542,"CA",147,"Aquilegia","canadensis","red columbine","Plantae",2798,201,"Open flowers (1 location)",2009,10,13,286,2455118,190,2009,10,13,286,2455118,NA
1559,39.289673,-123.373718,542,"CA",147,"Aquilegia","canadensis","red columbine","Plantae",2798,482,"Initial growth (forbs)",2009,3,30,89,2454921,NA,2009,10,13,286,2455118,NA
1559,39.289673,-123.373718,542,"CA",147,"Aquilegia","canadensis","red columbine","Plantae",2798,488,"Leaves (forbs)",2009,3,30,89,2454921,NA,2009,10,13,286,2455118,NA
2394,45.425339,-93.186249,278,"MN",147,"Aquilegia","canadensis","red columbine","Plantae",3817,200,"All leaves withered (herbaceous and grasses)",2009,8,21,233,2455065,18,2009,8,21,233,2455065,NA
2394,45.425339,-93.186249,278,"MN",147,"Aquilegia","canadensis","red columbine","Plantae",3817,201,"Open flowers (1 location)",2009,5,26,146,2454978,7,2009,6,2,153,2454985,8
2394,45.425339,-93.186249,278,"MN",147,"Aquilegia","canadensis","red columbine","Plantae",3817,202,"Ripe fruits (1 location)",2009,7,7,188,2455020,21,2009,8,21,233,2455065,NA
2394,45.425339,-93.186249,278,"MN",147,"Aquilegia","canadensis","red columbine","Plantae",3817,482,"Initial growth (forbs)",2009,5,19,139,2454971,NA,2009,7,7,188,2455020,13
2394,45.425339,-93.186249,278,"MN",147,"Aquilegia","canadensis","red columbine","Plantae",3817,488,"Leaves (forbs)",2009,5,19,139,2454971,NA,2009,8,3,215,2455047,18
2394,45.425339,-93.186249,278,"MN",147,"Aquilegia","canadensis","red columbine","Plantae",3818,200,"All leaves withered (herbaceous and grasses)",2009,8,21,233,2455065,18,2009,8,21,233,2455065,NA
2394,45.425339,-93.186249,278,"MN",147,"Aquilegia","canadensis","red columbine","Plantae",3818,201,"Open flowers (1 location)",2009,5,19,139,2454971,4,2009,5,26,146,2454978,7
2394,45.425339,-93.186249,278,"MN",147,"Aquilegia","canadensis","red columbine","Plantae",3818,202,"Ripe fruits (1 location)",2009,7,7,188,2455020,21,2009,7,7,188,2455020,13
2394,45.425339,-93.186249,278,"MN",147,"Aquilegia","canadensis","red columbine","Plantae",3818,482,"Initial growth (forbs)",2009,5,15,135,2454967,NA,2009,6,16,167,2454999,21
2394,45.425339,-93.186249,278,"MN",147,"Aquilegia","canadensis","red columbine","Plantae",3818,488,"Leaves (forbs)",2009,5,15,135,2454967,NA,2009,8,3,215,2455047,18
2394,45.425339,-93.186249,278,"MN",147,"Aquilegia","canadensis","red columbine","Plantae",3900,200,"All leaves withered (herbaceous and grasses)",2009,8,31,243,2455075,10,2009,8,31,243,2455075,NA
2394,45.425339,-93.186249,278,"MN",147,"Aquilegia","canadensis","red columbine","Plantae",3900,201,"Open flowers (1 location)",2009,5,19,139,2454971,4,2009,6,2,153,2454985,8
2394,45.425339,-93.186249,278,"MN",147,"Aquilegia","canadensis","red columbine","Plantae",3900,202,"Ripe fruits (1 location)",2009,7,7,188,2455020,21,2009,8,31,243,2455075,NA
2394,45.425339,-93.186249,278,"MN",147,"Aquilegia","canadensis","red columbine","Plantae",3900,482,"Initial growth (forbs)",2009,5,15,135,2454967,NA,2009,6,16,167,2454999,21
2394,45.425339,-93.186249,278,"MN",147,"Aquilegia","canadensis","red columbine","Plantae",3900,488,"Leaves (forbs)",2009,5,15,135,2454967,NA,2009,8,21,233,2455065,10
1069,38.010864,-122.688927,151,"CA",147,"Aquilegia","canadensis","red columbine","Plantae",5640,482,"Initial growth (forbs)",2009,3,8,67,2454899,NA,2009,3,8,67,2454899,NA
1069,38.010864,-122.688927,151,"CA",147,"Aquilegia","canadensis","red columbine","Plantae",5640,488,"Leaves (forbs)",2009,3,8,67,2454899,NA,2009,3,8,67,2454899,NA
1559,39.289673,-123.373718,542,"CA",147,"Aquilegia","canadensis","red columbine","Plantae",2798,200,"All leaves withered (herbaceous and grasses)",2010,6,4,155,2455352,NA,2010,6,4,155,2455352,NA
1559,39.289673,-123.373718,542,"CA",147,"Aquilegia","canadensis","red columbine","Plantae",2798,482,"Initial growth (forbs)",2010,4,17,107,2455304,NA,2010,4,17,107,2455304,NA
1559,39.289673,-123.373718,542,"CA",147,"Aquilegia","canadensis","red columbine","Plantae",2798,488,"Leaves (forbs)",2010,4,17,107,2455304,NA,2010,6,4,155,2455352,NA
2394,45.425339,-93.186249,278,"MN",147,"Aquilegia","canadensis","red columbine","Plantae",3817,200,"All leaves withered (herbaceous and grasses)",2010,9,8,251,2455448,7,2010,9,8,251,2455448,NA
